,time,latitude,longitude,down,heading,x,y,z
497,15999333000,40.440204420460866,-79.94239474981562,261.2544300673379,-112.19094909351992,159.6174023483565,-164.63531515536926,261.25030567351905
498,15999350000,40.44020407989543,-79.94239611338014,261.24821440078523,-111.77858549506313,159.50170938669433,-164.67313645179382,261.244091916564
499,15999383000,40.44020374260536,-79.94239748562002,261.2415301061333,-111.30273325228552,159.38528033239936,-164.71059403052897,261.23740955982555
500,15999417000,40.44020341538667,-79.94239886934109,261.23628962051976,-110.90543670744907,159.26787714988552,-164.74693326292524,261.2321710621776
501,15999450000,40.44020309405737,-79.94240026085886,261.2310149475724,-110.47212054281754,159.14981242962605,-164.78261850143969,261.2268984068601
502,15999500000,40.44020277859823,-79.942401657475,261.22440178759064,-109.97613625274508,159.0313150830865,-164.8176518462241,261.22028729223695
503,15999517000,40.4402024739825,-79.94240306359887,261.218606273954,-109.5252139751063,158.9120110329337,-164.85148109123335,261.21449387068606
504,15999550000,40.440202175951804,-79.94240447742597,261.2133726769953,-109.06371020357393,158.792053390101,-164.88457911038768,261.2092623984243
505,15999600000,40.44020188665752,-79.94240589555237,261.20786555216324,-108.55779520850372,158.67173093770623,-164.9167069707592,261.20375743250855
506,15999617000,40.44020160639869,-79.94240732180475,261.20130393438916,-108.08273077284821,158.55071897623037,-164.9478314498143,261.19719801215183
507,15999667000,40.44020133333093,-79.94240875441803,261.19471305215217,-107.60824667490544,158.4291672972218,-164.9781573855026,261.190609359772
508,15999683000,40.440201069013526,-79.94241019599377,261.18867157725714,-107.12502150490961,158.30685517641916,-165.00751164381754,261.1845701559921
509,15999717000,40.44020081503209,-79.9424116457311,261.1833229785419,-106.63899309251462,158.1838505662286,-165.03571814765556,261.17922387325245
510,15999750000,40.44020056788068,-79.9424130990797,261.1772836063349,-106.14604305747879,158.0605395193554,-165.06316617896795,261.1731868428708
511,15999783000,40.44020033073028,-79.94241455711214,261.17066473039597,-105.66277308703677,157.93683102601113,-165.08950361258673,261.1665703423479
512,15999833000,40.44020009506652,-79.94241601963513,261.16369161804454,-105.17428866039518,157.81274151376758,-165.1156759542687,261.1595996186961
513,15999850000,40.44019986393813,-79.94241748967774,261.1559383086591,-104.67483322231475,157.68801395782418,-165.14134464615665,261.15184872322783
