,time,latitude,longitude,down,heading,x,y,z
3328,311000070000,40.44027291326484,-79.94216426758982,261.34044139900544,72.2459427910959,-157.12059123035937,-39.33752591104828,261.34044139900544
3329,311000170000,40.440272984245865,-79.94216425906623,261.34115904034826,72.26593622738082,-157.11270445783222,-39.337686660748446,261.34115904034826
3330,311000270000,40.440273058788215,-79.94216425138677,261.34189550223334,72.26847662689826,-157.10442198287225,-39.337831490776175,261.34189550223334
3331,311000375000,40.440273135372436,-79.94216424590019,261.34260015092826,72.27409178092189,-157.09591263342259,-39.33793496446519,261.34260015092826
3332,311000470000,40.440273187308165,-79.94216429211205,261.34514692880515,72.28653608476709,-157.09014200268138,-39.337063436484286,261.34514692880515
3333,311000570000,40.440273237987284,-79.94216435199138,261.3479243697267,72.26750360712829,-157.08451099502713,-39.335934149129926,261.3479243697267
3334,311999670000,40.44027328932899,-79.94216442038562,261.3506668661859,72.26464448833293,-157.07880636653462,-39.33464427663075,261.3506668661859
3335,311999770000,40.44027333997191,-79.94216450119576,261.35346151291566,72.25400060134425,-157.0731793813377,-39.33312024944867,261.35346151291566
3336,311999875000,40.4402733934913,-79.94216460512585,261.35614611612493,72.18950539972727,-157.06723278802193,-39.33116019696009,261.35614611612493
3337,311999975000,40.44027340283379,-79.94216468373664,261.3561368820515,72.19189162843912,-157.06619473507152,-39.329677651399415,261.3561368820515
3338,312000070000,40.44027341025777,-79.94216475357855,261.35585062953686,72.17283348138204,-157.06536984946564,-39.32836048176368,261.35585062953686
3339,312000170000,40.4402734190208,-79.94216482929244,261.35541646230325,72.13844003555542,-157.06439618030714,-39.32693257213525,261.35541646230325
3340,312000270000,40.44027343072985,-79.94216491023599,261.3551101680522,72.08914117278341,-157.0630951754905,-39.3254060361491,261.3551101680522
3341,312000370000,40.44027344506259,-79.94216498859144,261.35485799823124,72.06222521579924,-157.06150265107073,-39.323928311104474,261.35485799823124
3342,312000370000,40.44027344506259,-79.94216498859144,261.35485799823124,72.06222521579924,-157.06150265107073,-39.323928311104474,261.35485799823124
3343,312000475000,40.440273466104685,-79.94216506918974,261.3547673861278,72.06578358829827,-157.0591646425374,-39.32240828914048,261.3547673861278
3344,312000575000,40.44027349185347,-79.94216515061545,261.3546470785424,72.0696011495699,-157.0563036695471,-39.320872664251674,261.3546470785424
3345,312999670000,40.44027352025505,-79.94216522446831,261.35454490951884,72.0630283864638,-157.053147941619,-39.31947985863123,261.35454490951884
3346,312999770000,40.44027355475235,-79.94216528750027,261.3543957078101,72.03230527020432,-157.04931491161108,-39.318291127400244,261.3543957078101
3347,312999870000,40.44027359559811,-79.94216533440392,261.35426215418727,72.00298153992775,-157.04477649890254,-39.31740656348645,261.35426215418727
3348,312999970000,40.44027362086102,-79.94216535048928,261.3524872198078,72.017226408575,-157.04196951131632,-39.317103207218,261.3524872198078
3349,312999970000,40.44027362086102,-79.94216535048928,261.3524872198078,72.017226408575,-157.04196951131632,-39.317103207218,261.3524872198078
3350,313000075000,40.44027364978258,-79.94216535448219,261.35052637640996,72.00678101091067,-157.03875600763712,-39.31702790430332,261.35052637640996
3351,313000175000,40.44027368167355,-79.9421653493819,261.34856827682637,72.0317214389972,-157.03521257008447,-39.3171240914921,261.34856827682637
3352,313000270000,40.44027371853541,-79.9421653384415,261.3466427155305,72.04041363806586,-157.0311168124258,-39.317330418218496,261.3466427155305
3353,313000370000,40.44027375839995,-79.94216532527933,261.34475763073016,72.05147204922181,-157.02668742370662,-39.317578645657136,261.34475763073016
3354,313000470000,40.440273805560565,-79.94216532496377,261.3389624841258,72.05724875509725,-157.02144736022208,-39.317584596973454,261.3389624841258
3355,313000570000,40.440273857922016,-79.942165321744,261.3326872040265,72.06001071267069,-157.01562942711928,-39.317645319107925,261.3326872040265
3356,313000570000,40.440273857922016,-79.942165321744,261.3326872040265,72.06001071267069,-157.01562942711928,-39.317645319107925,261.3326872040265
3357,313999675000,40.44027391125843,-79.94216531546134,261.32639472834745,72.1186283324868,-157.0097031647793,-39.317763804877494,261.32639472834745
3358,313999770000,40.44027397308658,-79.94216530796304,261.32017259129316,72.06184318223328,-157.002833376842,-39.3179052166014,261.32017259129316
3359,313999870000,40.44027403433847,-79.9421652986483,261.3139898716173,72.08340656485638,-156.99602761821507,-39.3180808847313,261.3139898716173
3360,313999970000,40.4402740734156,-79.9421652875107,261.31114604606455,72.12003487667133,-156.99168571932495,-39.31829093068458,261.31114604606455
